Manufacturer Code,100px Swatch Tiny,Bigger Swatch,Product Group Name,Manufacturer,Filter - Material,Filter - Colour,Filter - Construction,Filter - Style,Filter - Room,Filter - Suitable For,Manufacturer Colour Name,Available Widths (m),Rug Builder Product Type,Wear Rating,Rug Builder Product?,RRP,Discount (%)
WA513,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WA513.png,,Alpine,Crucial Trading,Wool,"Beige,Natural",Herringbone,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Framed Light,4,Material,Class 23 (Heavy Domestic),true,£134.00,1%
WA514,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WA514.png,,Alpine,Crucial Trading,Wool,"Grey,Beige",Herringbone,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Midsummer Dance,4,Material,Class 23 (Heavy Domestic),true,£134.00,1%
WA515,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WA515.png,,Alpine,Crucial Trading,Wool,"Beige,Grey,Natural",Herringbone,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Shorter Days,4,Material,Class 23 (Heavy Domestic),true,£134.00,1%
WA516,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WA516.png,,Alpine,Crucial Trading,Wool,"Grey,White",Herringbone,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Story Telling,4,Material,Class 23 (Heavy Domestic),true,£134.00,1%
WA517,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WA517.png,,Alpine,Crucial Trading,Wool,"Beige,Grey",Herringbone,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Birch White,4,Material,Class 23 (Heavy Domestic),true,£134.00,1%
WA518,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WA518.png,,Alpine,Crucial Trading,Wool,"Grey,Beige",Herringbone,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Archipelago,4,Material,Class 23 (Heavy Domestic),true,£134.00,1%
WB100,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WB100.png,,Buttercup,Crucial Trading,Wool,"Beige,Natural,Cream",Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners","Castor Chairs,Underfloor Heating,Stairs",White Linen,5,Material,Class 23 (Heavy Domestic),true,£143.00,1%
WB101,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WB101.png,,Buttercup,Crucial Trading,Wool,"Beige,Natural",Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners","Castor Chairs,Underfloor Heating,Stairs",Gentle Oyster,5,Material,Class 23 (Heavy Domestic),true,£143.00,1%
WB102,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WB102.png,,Buttercup,Crucial Trading,Wool,"Grey,Natural",Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners","Castor Chairs,Underfloor Heating,Stairs",Soft Shell,5,Material,Class 23 (Heavy Domestic),true,£143.00,1%
WB103,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WB103.png,,Buttercup,Crucial Trading,Wool,"Grey,Natural",Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners","Castor Chairs,Underfloor Heating,Stairs",Morning Mist,5,Material,Class 23 (Heavy Domestic),true,£143.00,1%
WB104,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WB104.png,,Buttercup,Crucial Trading,Wool,"Grey,Brown",Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners","Castor Chairs,Underfloor Heating,Stairs",Cool Slate,5,Material,Class 23 (Heavy Domestic),true,£143.00,1%
WB105,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WB105.png,,Buttercup,Crucial Trading,Wool,Grey,Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners","Castor Chairs,Underfloor Heating,Stairs",Warm Grey,5,Material,Class 23 (Heavy Domestic),true,£143.00,1%
WE100,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WE100.png,,Enchanted,Crucial Trading,Wool,"Beige,Natural,Cream",Thick Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Cool White,5,Material,Class 23 (Heavy Domestic),true,£157.00,1%
WE101,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WE101.png,,Enchanted,Crucial Trading,Wool,"Beige,Natural,Cream",Thick Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Soft Sands,5,Material,Class 23 (Heavy Domestic),true,£157.00,1%
WE102,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WE102.png,,Enchanted,Crucial Trading,Wool,"Beige,Cream,Natural",Thick Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Morning Mist,5,Material,Class 23 (Heavy Domestic),true,£157.00,1%
WE103,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WE103.png,,Enchanted,Crucial Trading,Wool,"Beige,Grey,Natural",Thick Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Cinder Grey,5,Material,Class 23 (Heavy Domestic),true,£157.00,1%
WE104,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WE104.png,,Enchanted,Crucial Trading,Wool,"Grey,Beige,Natural",Thick Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Castle Grey,5,Material,Class 23 (Heavy Domestic),true,£157.00,1%
WE510,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WE510.png,,Enigma,Crucial Trading,Wool,"Beige,Grey",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Desert Island,5,Material,Class 31 (Light Commercial),true,£149.00,1%
WE511,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WE511.png,,Enigma,Crucial Trading,Wool,"Grey,Beige",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Hidden Cave,5,Material,Class 31 (Light Commercial),true,£149.00,1%
WE512,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WE512.png,,Enigma,Crucial Trading,Wool,"Grey,White,Beige",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Winter Wonderland,5,Material,Class 31 (Light Commercial),true,£149.00,1%
WE513,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WE513.png,,Enigma,Crucial Trading,Wool,"Grey,Cream",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Waterfall Mist,5,Material,Class 31 (Light Commercial),true,£149.00,1%
WE514,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WE514.png,,Enigma,Crucial Trading,Wool,Grey,Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Shooting Star,5,Material,Class 31 (Light Commercial),true,£149.00,1%
WE515,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WE515.png,,Enigma,Crucial Trading,Wool,"Grey,White",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Spellbound,5,Material,Class 31 (Light Commercial),true,£149.00,1%
WE516,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WE516.png,,Enigma,Crucial Trading,Wool,"Grey,Silver",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Stargazer,5,Material,Class 31 (Light Commercial),true,£149.00,1%
WE517,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WE517.png,,Enigma,Crucial Trading,Wool,"Green,Brown",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Enchanted Forest,5,Material,Class 31 (Light Commercial),true,£149.00,1%
WE518,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WE518.png,,Enigma,Crucial Trading,Wool,"Brown,Grey",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Eternal Flame,5,Material,Class 31 (Light Commercial),true,£149.00,1%
WFN501,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WFN501.png,,Fabulous,Crucial Trading,Wool,"Grey,White,Beige",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Diamond,5,Material,Class 23 (Heavy Domestic),true,£221.00,1%
WFN502,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WFN502.png,,Fabulous,Crucial Trading,Wool,"Purple,Gold,Orange,Green,Brown",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Emerald,5,Material,Class 23 (Heavy Domestic),true,£221.00,1%
WFN503,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WFN503.png,,Fabulous,Crucial Trading,Wool,"Red,Orange,Pink,Purple,Green,Brown",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Ruby,5,Material,Class 23 (Heavy Domestic),true,£221.00,1%
WFN504,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WFN504.png,,Fabulous,Crucial Trading,Wool,"Grey,Brown,White,Red",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Opal,5,Material,Class 23 (Heavy Domestic),true,£221.00,1%
WFS1,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WFS1.png,,Audrey,Crucial Trading,Wool,"Red,Orange,Green,Grey,Pink,Brown,White",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Sunrise,4,Material,Class 23 (Heavy Domestic),true,£212.00,1%
WFS2,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WFS2.png,,Audrey,Crucial Trading,Wool,"Grey,Yellow,Blue,Orange,Brown,Beige,White",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Sunset,4,Material,Class 23 (Heavy Domestic),true,£212.00,1%
WFS3,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WFS3.png,,Audrey,Crucial Trading,Wool,"Brown,Red,Grey,Beige,White,Blue",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Midday,4,Material,Class 23 (Heavy Domestic),true,£212.00,1%
WFS4,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WFS4.png,,Audrey,Crucial Trading,Wool,"Black,White",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Midnight,4,Material,Class 23 (Heavy Domestic),true,£212.00,1%
WFS5,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WFS5.png,,Audrey,Crucial Trading,Wool,"Brown,White,Blue,Green,Purple,Black",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Daylight,4,Material,Class 23 (Heavy Domestic),true,£212.00,1%
WFS6,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WFS6.png,,Audrey,Crucial Trading,Wool,"Black,Grey,White,Brown,Green,Orange",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Daybreak,4,Material,Class 23 (Heavy Domestic),true,£212.00,1%
WFS7,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WFS7.png,,Audrey,Crucial Trading,Wool,"Black,Grey,White",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Nightfall,4,Material,Class 23 (Heavy Domestic),true,£212.00,1%
WFW601,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WFW601.png,,Fabulous,Crucial Trading,Wool,"Grey,Beige,White",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Diamond,5,Material,Class 23 (Heavy Domestic),true,£221.00,1%
WFW602,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WFW602.png,,Fabulous,Crucial Trading,Wool,"Purple,Orange,Blue,Brown,Green,Grey,Yellow",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Emerald,5,Material,Class 23 (Heavy Domestic),true,£221.00,1%
WFW603,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WFW603.png,,Fabulous,Crucial Trading,Wool,"Orange,Red,Purple,Pink,Brown,Green",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Ruby,5,Material,Class 23 (Heavy Domestic),true,£221.00,1%
WFW604,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WFW604.png,,Fabulous,Crucial Trading,Wool,"Grey,Brown,White,Orange",Pattern Loop,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Opal,5,Material,Class 23 (Heavy Domestic),true,£221.00,1%
WG100,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WG100.png,,Grace,Crucial Trading,Wool,"Grey,Black,White",Flatweave,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Sky Blue,5,Material,Class 23 (Heavy Domestic),true,£147.00,1%
WG101,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WG101.png,,Grace,Crucial Trading,Wool,"Grey,Beige",Flatweave,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Smooth Pebble,5,Material,Class 23 (Heavy Domestic),true,£147.00,1%
WG102,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WG102.png,,Grace,Crucial Trading,Wool,"Grey,Beige",Flatweave,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Sandy Shore,5,Material,Class 23 (Heavy Domestic),true,£147.00,1%
WG103,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WG103.png,,Grace,Crucial Trading,Wool,"Grey,Black",Flatweave,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Rocky Cove,5,Material,Class 23 (Heavy Domestic),true,£147.00,1%
WG104,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WG104.png,,Grace,Crucial Trading,Wool,"Beige,Natural",Flatweave,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Summer Cloud,5,Material,Class 23 (Heavy Domestic),true,£147.00,1%
WG105,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WG105.png,,Grace,Crucial Trading,Wool,Grey,Flatweave,Patterned,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Ocean Pearl,5,Material,Class 23 (Heavy Domestic),true,£147.00,1%
WH200,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WH200.png,,Harbour,Crucial Trading,Wool,"Blue,Grey,White",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Marine Blue,4,Material,Class 23 (Heavy Domestic),true,£141.00,1%
WH201,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WH201.png,,Harbour,Crucial Trading,Wool,"Grey,Beige,White",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Calm Breeze,4,Material,Class 23 (Heavy Domestic),true,£141.00,1%
WH202,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WH202.png,,Harbour,Crucial Trading,Wool,"Brown,Grey,White",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Golden Glaze,4,Material,Class 23 (Heavy Domestic),true,£141.00,1%
WH203,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WH203.png,,Harbour,Crucial Trading,Wool,"Purple,Grey",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Deep Purple,4,Material,Class 23 (Heavy Domestic),true,£141.00,1%
WH204,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WH204.png,,Harbour,Crucial Trading,Wool,"Grey,Black,White",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Grey Mist,4,Material,Class 23 (Heavy Domestic),true,£141.00,1%
WH205,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WH205.png,,Harbour,Crucial Trading,Wool,"Grey,Beige",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Knotted Rope,4,Material,Class 23 (Heavy Domestic),true,£141.00,1%
WH206,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WH206.png,,Harbour,Crucial Trading,Wool,"Grey,Brown",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Natural Stone,4,Material,Class 23 (Heavy Domestic),true,£141.00,1%
WH207,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WH207.png,,Harbour,Crucial Trading,Wool,"Grey,Brown,Purple",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Autumn Glow,4,Material,Class 23 (Heavy Domestic),true,£141.00,1%
WH208,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WH208.png,,Harbour,Crucial Trading,Wool,"Blue,Green",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Emerald Tide,4,Material,Class 23 (Heavy Domestic),true,£141.00,1%
WJ200,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WJ200.png,,Jasmine,Crucial Trading,Wool,"Beige,Cream,Natural",Medium Loop,Flecked,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",White Lilly,5,Material,Class 23 (Heavy Domestic),true,£99.00,1%
WJ201,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WJ201.png,,Jasmine,Crucial Trading,Wool,"Beige,Cream",Medium Loop,Flecked,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Spring Blossom,5,Material,Class 23 (Heavy Domestic),true,£99.00,1%
WJ202,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WJ202.png,,Jasmine,Crucial Trading,Wool,"Grey,Beige",Medium Loop,Flecked,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Silver Thistle,5,Material,Class 23 (Heavy Domestic),true,£99.00,1%
WJ203,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WJ203.png,,Jasmine,Crucial Trading,Wool,"Beige,Grey,Brown",Medium Loop,Flecked,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Vintage Rose,5,Material,Class 23 (Heavy Domestic),true,£99.00,1%
WJ204,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WJ204.png,,Jasmine,Crucial Trading,Wool,"Brown,Grey",Medium Loop,Flecked,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Grey Orchid,5,Material,Class 23 (Heavy Domestic),true,£99.00,1%
WL775,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WL775.png,,Linen n Wool,Crucial Trading,Wool,"Grey,Black,White,Cream",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Cream,4,Material,Class 23 (Heavy Domestic),true,£152.00,1%
WL776,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WL776.png,,Linen n Wool,Crucial Trading,Wool,"Beige,Grey,White,Black",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Pale Grey,4,Material,Class 23 (Heavy Domestic),true,£152.00,1%
WL777,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WL777.png,,Linen n Wool,Crucial Trading,Wool,"Grey,Black,White,Natural,Beige",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Slate,4,Material,Class 23 (Heavy Domestic),true,£152.00,1%
WL778,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WL778.png,,Linen n Wool,Crucial Trading,Wool,"Grey,Black,White,Natural,Beige",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Dark Grey,4,Material,Class 23 (Heavy Domestic),true,£152.00,1%
WL779,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WL779.png,,Linen n Wool,Crucial Trading,Wool,"Grey,Black,White,Natural,Beige",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Black,4,Material,Class 23 (Heavy Domestic),true,£152.00,1%
WP101,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WP101.png,,Pearl,Crucial Trading,Wool,"Cream,Natural,Beige",Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",White Cotton,5,Material,Class 23 (Heavy Domestic),true,£144.00,1%
WP102,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WP102.png,,Pearl,Crucial Trading,Wool,"Beige,Cream,Natural",Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Pure Oyster,5,Material,Class 23 (Heavy Domestic),true,£144.00,1%
WP103,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WP103.png,,Pearl,Crucial Trading,Wool,"Beige,Natural",Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Soft Olive,5,Material,Class 23 (Heavy Domestic),true,£144.00,1%
WP104,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WP104.png,,Pearl,Crucial Trading,Wool,"Grey,Green",Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Silver Shore,5,Material,Class 23 (Heavy Domestic),true,£144.00,1%
WP105,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WP105.png,,Pearl,Crucial Trading,Wool,Grey,Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Chic Steel,5,Material,Class 23 (Heavy Domestic),true,£144.00,1%
WP106,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WP106.png,,Pearl,Crucial Trading,Wool,Grey,Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Grey Dove,5,Material,Class 23 (Heavy Domestic),true,£144.00,1%
WR100,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WR100.png,,Reef,Crucial Trading,Wool,"Grey,Beige",Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Soft Eden,5,Material,Class 23 (Heavy Domestic),true,£135.00,1%
WR101,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WR101.png,,Reef,Crucial Trading,Wool,Grey,Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Smooth Silk,5,Material,Class 23 (Heavy Domestic),true,£135.00,1%
WR102,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WR102.png,,Reef,Crucial Trading,Wool,Grey,Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Cool Haze,5,Material,Class 23 (Heavy Domestic),true,£135.00,1%
WR105,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WR105.png,,Reef,Crucial Trading,Wool,Grey,Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Peaceful Willow,5,Material,Class 23 (Heavy Domestic),true,£135.00,1%
WR106,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WR106.png,,Reef,Crucial Trading,Wool,Grey,Medium Loop,Plain,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Light Stone,5,Material,Class 23 (Heavy Domestic),true,£135.00,1%
WS100,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS100.png,,Mississippi,Crucial Trading,Wool,"Blue,Green,Beige,Grey",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Blue / Gold,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
WS110,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS110.png,,Mississippi,Crucial Trading,Wool,"Black,White,Grey,Brown,Beige",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Black / Silver,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
WS113,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS113.png,,Mississippi,Crucial Trading,Wool,"Beige,Blue,Red,Yellow",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Pastels,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
WS114,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS114.png,,Mississippi,Crucial Trading,Wool,"Red,White,Yellow,Blue,Grey,Green",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Lime / Red,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
WS115,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS115.png,,Mississippi,Crucial Trading,Wool,"Brown,Red,Blue,White,Grey,Yellow,Green",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Chocolate / Blue,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
